3243	22	9539	2004	2005
11773	22	9791	2010	2012
5686	22	9689	1961	1962
3319	13	3255	1920	None
656	6	30	None	1917
7997	17	5879	2013	2013
11892	22	9744	1994	1996
2207	12	2155	None	2015
8024	20	9165	1985	1985
6053	17	8097	1994	1994
7527	20	8101	2008	2008
11008	22	9797	2003	2006
12271	22	10270	2014	2015
6968	20	5968	2011	2011
4455	14	3658	2007	2008
11319	22	10061	2014	2014
7547	17	6665	1988	1988
3053	17	6601	1987	1987
12406	22	9788	1997	1997
1941	5	1943	None	2016
5714	17	6063	2001	2001
3231	17	6729	2008	2008
1975	5	1991	1991	None
7329	17	7330	1953	1953
7930	20	7808	1998	1998
8568	17	8537	2014	2014
12388	22	10112	2010	2011
9057	17	6210	2009	2009
11754	22	10073	2003	2006
12071	22	9710	2006	2009
12261	22	9761	2008	2008
11077	22	9776	2015	None
3984	14	3986	1999	2000
11674	22	10796	2002	2006
12165	22	10299	2010	2011
8055	17	5915	1969	1969
11827	22	10079	2013	2013
6784	20	6786	2007	2007
11195	22	11196	2000	2001
11385	22	9878	2007	2012
11594	22	9950	2006	2008
10679	22	10241	1989	1992
6968	20	6392	1979	1979
3940	14	3690	1848	1848
7744	17	7599	2012	2012
5284	15	4973	None	2016
10964	22	9966	2005	2006
12349	22	10849	2012	None
9987	22	9992	2005	2008
9293	20	5762	1913	1913
2778	17	7494	1965	1965
927	1	865	None	2014
3508	14	3437	1950	1951
10249	22	10250	2007	2008
11650	22	10569	2006	2012
11931	22	10289	1992	1995
6046	17	6047	2011	2011
11644	22	10990	2015	None
12138	22	11012	2011	2012
8398	17	6538	1992	1992
3994	14	3455	2015	2017
4497	14	3912	2016	None
12035	22	5109	1999	2000
9620	22	9600	2012	2014
2349	17	8101	1985	1985
4718	14	3726	2001	2002
10577	22	10578	2014	2015
12470	22	10594	2000	2000
1588	6	29	1944	1991
11545	22	9591	2012	2012
6598	17	6079	1987	1987
4785	14	3532	2007	2009
7964	20	7769	2004	2004
10891	22	9949	1999	2002
2697	17	6068	2016	2016
8674	17	8675	2008	2008
8359	17	7734	1979	1979
3388	13	3245	1994	None
10555	22	9709	2011	2013
2260	8	2259	1958	1974
3171	14	3450	2005	2009
12183	22	10795	2005	2007
4603	17	7233	1947	1947
11031	22	9818	2011	2011
10846	22	9758	2007	2008
9338	20	7801	1984	1984
11524	22	9678	1982	1983
11936	22	10093	2001	2001
8481	20	7470	2013	2013
8962	17	8152	1997	1997
4886	14	4560	1924	1931
12037	22	9645	2008	2008
11666	22	10664	2008	2008
10817	22	10202	2001	2015
11864	22	10145	1988	1989
8896	17	6156	2012	2012
446	1	401	1945	1947
7210	17	5931	1987	1987
6663	17	6676	1999	1999
2910	17	6169	1966	1966
11327	22	9756	2000	2001
8363	17	8364	2012	2012
7004	17	7005	2006	2006
1876	4	1829	1999	1999
12163	22	10815	1996	2001
12379	22	10633	2006	2006
10550	22	10228	2010	2010
4748	14	3788	1996	2004
10461	22	9673	1978	1986
11577	22	9650	2012	2013
10477	22	9633	2004	2012
10751	22	9859	1929	1931
6407	17	6409	2011	2011
40	6	1439	1815	None
6762	17	6763	1972	1972
11292	22	9750	2003	2004
5568	20	5722	1991	1991
11585	22	2157	2000	2003
3348	13	3252	1986	None
3508	14	3436	1940	1945
7575	20	5841	1983	1983
12350	22	11591	2007	2009
1521	1	148	1790	1968
11480	22	10664	1994	1995
11935	22	10365	2008	2008
10909	22	10285	1999	2005
11208	22	11209	1995	1997
2794	9	2482	1993	None
12055	22	9579	1966	1967
10182	22	10186	2005	2006
8964	22	10333	1998	2002
5960	17	8184	2000	2000
1373	1	953	1920	None
11561	22	10591	1998	2000
5864	20	6780	1961	1961
7312	20	6257	2010	2010
9144	18	695	2016	None
12489	22	9969	1994	1994
6271	17	6272	1996	1996
11519	22	9934	1996	1999
12151	22	10305	2014	None
12103	22	10567	2013	2014
9294	23	12508	None	1943
11281	22	10910	2003	2005
11932	22	10639	2014	2014
5962	20	5965	2010	2010
4980	15	4971	2017	None
11171	22	10285	2002	2003
12360	22	9554	1996	1996
9960	22	9961	2016	None
1877	20	7513	1978	1978
9533	21	9519	1958	1958
11805	22	9826	1999	2000
10259	22	10260	2012	2013
142	6	2044	1918	1940
10075	22	10076	2013	2014
10135	22	2157	1997	2001
7329	20	7330	1969	1969
1823	3	1776	None	2007
5774	16	5785	1996	1996
2764	9	2491	1977	None
238	1	379	None	2015
2465	14	3736	1904	1906
11341	22	10098	2007	2008
11602	22	10015	2003	2003
941	1	865	None	2014
1301	1	129	1790	1871
4680	14	3444	1949	1965
7580	17	7514	2004	2004
5698	22	9738	1996	1997
1339	1	129	1920	None
8928	20	6867	1963	1963
12026	22	9689	1985	1988
12288	22	9991	1974	1978
2624	9	2490	1952	None
9420	20	6581	1994	1994
1904	10	2861	2007	2013
10935	22	10449	2003	2009
5573	20	7556	1990	1990
10586	22	10588	2008	2008
12032	22	10383	1998	1999
3671	17	6094	1986	1986
3868	14	3869	1946	1946
1725	2	1671	2004	None
5700	16	5705	2005	2005
5411	16	5533	2008	2008
7541	20	7542	2005	2005
11833	22	10564	2010	2011
5500	22	9788	1993	1993
1331	1	129	1790	1871
525	15	4971	2016	None
8643	17	7597	2008	2008
8162	17	5799	2000	2000
3075	11	3087	1972	None
267	1	1144	1939	1991
3135	14	4172	2007	2014
5553	16	5562	1995	1995
7160	20	9282	1999	1999
5499	22	9791	2011	2012
3567	14	3557	2005	2006
10982	22	9818	2009	2009
7906	17	7917	2008	2008
8530	17	6811	1996	1996
999	1	122	1790	1871
9315	20	7092	1930	1930
10668	22	10669	1988	1989
990	1	511	1940	1990
1737	2	1672	2006	None
11565	22	9878	2010	2013
3521	14	3513	1906	1908
8382	17	6055	1995	1995
9914	22	9916	2011	2011
640	1	642	1927	2005
8503	20	6780	1957	1957
8914	17	6274	1998	1998
11123	22	10246	2002	2003
10167	22	10170	2007	2007
2336	8	2337	1991	2005
7864	17	5836	1987	1987
8854	22	10691	2006	2011
431	1	189	None	2015
5499	22	9792	2014	2015
1463	1	1407	2016	None
10923	22	10494	1987	1988
6938	23	12543	None	1949
11640	22	10599	2009	2010
7239	17	7140	2009	2009
11614	22	10093	2006	2011
5262	15	4973	None	2015
11940	22	10431	2008	2010
12430	22	9695	1989	1991
4284	14	4285	2012	2014
10468	22	9790	1991	1992
3698	14	3455	2015	2017
583	1	584	1806	1918
1910	14	3707	1919	1930
5713	17	6060	2005	2005
3210	17	6126	2011	2011
6129	17	6131	2013	2013
1246	1	129	1920	None
1435	1	125	1920	None
11735	22	2772	2005	2006
12257	22	9595	1992	1992
4913	14	3447	1570	1573
8227	20	7097	1993	1993
12045	22	10445	1999	2000
8940	20	6706	1932	1932
4251	14	3481	1995	2002
7751	17	6910	2010	2010
1858	14	3738	2017	None
10493	22	10494	2000	2001
11604	22	10545	2005	2006
11942	22	9589	1969	1976
5446	16	5450	2011	2011
11874	22	10081	1995	1997
11914	22	9813	1983	1993
11681	22	9617	2009	2013
11185	22	9756	2006	2007
8767	17	6639	1926	1926
2660	9	2496	1985	None
169	6	175	None	1618
3889	14	3457	2005	2010
3018	23	2977	None	1925
1845	4	1831	1970	1970
7076	17	6457	1992	1992
11343	22	10057	2012	2013
6898	17	6899	1970	1970
10860	22	9776	1998	2000
3695	14	3697	1971	1972
9029	20	6678	2008	2008
25	1	28	1931	1991
5501	22	9785	1993	2003
2154	6	2148	1975	1977
11103	22	10032	1998	2004
2510	20	7092	1939	1939
5766	16	5633	2013	2013
805	1	129	1790	1871
6546	20	6547	1967	1967
3531	14	3532	1988	1993
626	6	45	1991	None
10802	22	10526	2004	2007
1511	1	233	2015	None
11862	22	10892	2014	2014
10931	22	10602	2000	2002
7800	20	6816	1977	1977
10232	22	5651	2008	2012
3287	13	3245	1986	None
2658	9	2492	1998	None
11797	22	9693	1997	2001
9760	22	9550	2004	2013
10758	22	10762	2002	2008
3827	17	6359	2001	2001
1852	11	3085	1982	None
8674	20	7802	2008	2008
3998	14	3456	2010	2015
10951	22	10394	2011	2014
2470	17	7051	1997	1997
9542	22	2999	2011	2012
8543	20	7092	1938	1938
10638	22	9780	2007	2008
5572	16	5575	1982	1982
11877	22	9952	2013	2013
4381	14	3431	1997	1998
11750	22	9709	1967	1968
12027	22	9725	2003	2004
7973	20	7568	2006	2006
2141	6	2055	1901	1814
1272	1	129	1790	1871
11916	22	9617	2002	2003
8197	20	5762	1963	1963
83	0	84	1873	1917
11802	22	9562	1996	1997
2173	6	170	1992	None
2852	9	2520	2017	2017
8507	20	9362	2014	2014
4785	14	3558	2010	2010
9014	17	6284	1981	1981
11592	22	11081	2015	None
11982	22	11742	1987	1991
2229	17	6905	1981	1981
12049	22	10077	2010	2010
2298	17	6153	1976	1976
12442	22	10295	2005	2008
12037	22	9942	2007	2007
2402	17	7474	1993	1993
5246	15	4973	None	2016
12012	22	11496	1989	1990
11952	22	10804	1992	1995
3617	14	3457	2005	2008
4648	14	3537	2007	2015
11100	22	11102	2010	2013
765	6	29	1922	1991
3818	14	3819	1983	1987
3746	14	3495	1950	1976
8438	20	6780	1930	1930
11582	22	9685	2004	2007
6053	20	8096	2003	2003
8597	20	6676	2001	2001
10343	22	10345	1991	1993
10653	22	10655	2009	2010
8473	20	5762	1947	1947
2943	10	2944	1997	2012
5714	17	5836	2008	2008
431	1	190	2015	None
12127	22	9934	2007	2008
11747	22	9789	2012	2012
7890	20	6675	2001	2001
12341	22	9605	2011	2011
12267	22	10334	2010	2013
7881	20	6780	1944	1944
8936	17	5915	2007	2007
1704	2	1671	1990	None
11718	22	10488	2003	2003
2856	17	7451	1970	1970
9363	20	6706	1922	1922
7160	20	7104	1998	1998
1157	1	953	1790	1871
8892	17	7091	2013	2013
9682	22	9681	2010	2010
2967	10	2968	1971	1976
4067	14	3431	2005	2007
2669	17	7041	1980	1980
11755	22	9790	1983	1983
986	1	533	2015	None
3092	14	4274	1951	1955
4827	14	3455	2015	2017
3828	14	3811	1895	1898
5087	15	4971	2017	None
11920	22	10527	2014	None
7170	20	7092	1949	1949
1203	1	953	1920	None
11497	22	11112	1992	1994
2583	9	2476	1903	None
8188	17	5870	1961	1961
1528	1	126	1871	1920
1840	4	1835	1978	1978
2747	9	2748	1929	None
8998	20	8852	1988	1988
6053	20	6054	1993	1993
5506	22	10297	1976	1976
4604	17	7221	2005	2005
7890	20	6853	1988	1988
10677	22	9589	2001	2003
8577	17	6465	1977	1977
11396	22	9647	2001	2002
3589	14	3437	2010	None
11610	22	11611	2012	2012
8584	17	6251	1987	1987
11790	22	10251	2009	2009
3233	12	2009	1892	1918
1235	1	129	1920	None
9051	17	6131	1974	1974
1322	1	129	1920	None
2642	9	2552	2009	None
221	1	223	2015	None
11563	22	9592	1986	1990
2382	8	2381	1984	1989
6252	20	6253	1960	1960
396	5	1979	1992	1992
12425	22	10855	2009	2010
3200	12	2055	1874	None
501	1	502	None	2014
8519	17	6331	1991	1991
2643	17	6780	1970	1970
10282	22	10286	2004	2005
5283	15	4971	2016	None
4248	14	4249	2002	2010
9083	20	5798	1993	1993
240	1	123	1871	None
12045	22	10018	2006	2007
6137	17	6140	2011	2011
6992	17	5916	2001	2001
2979	17	5933	1956	1956
8892	17	8236	1995	1995
2664	9	2486	1978	None
5431	16	5434	2003	2003
5678	16	5683	1953	1953
12460	22	9878	2004	2006
4839	14	3454	2017	None
12042	22	12043	2008	2009
8763	20	7837	2003	2003
12185	22	10005	1991	1999
