5711	3	5160	1965	None
4409	2	5123	2008	2012
4850	2	4236	1999	None
765	1	4042	2000	None
1517	2	5009	1994	1996
8694	9	8695	2001	None
8021	9	8761	1973	1976
2007	4	431	1998	None
4298	2	4489	1996	1995
4605	2	4685	2009	2011
3089	0	101	1913_05_27	1913_05_27
1067	2	4743	2011	2012
601	0	602	1950_05_07	1950_05_07
4239	2	5052	2004	2005
2453	0	139	1965_07_20	1965_07_20
821	0	176	1915_01_09	1915_01_09
2274	2	4626	2015	2016
3046	3	5198	1984	None
5850	3	5479	1926	None
774	7	775	2013_01_28	2013_01_28
1689	7	240	1989_07_02	1989_07_02
3166	3	5562	2000	None
1821	3	5707	2016	None
1548	4	6040	1981	1990
4805	2	4436	2008	2003
2020	9	9611	2002	None
7426	6	3848	1956	None
9861	9	9862	1995	None
5260	3	5261	1994	None
4679	2	4684	2012	None
9891	9	7958	2002	None
380	4	226	1976	None
3659	8	7768	1917	None
2542	7	3	1874_03_11	1874_03_11
3744	2	4526	2007	None
1477	4	1997	1968	2006
4961	2	4687	2009	2010
5756	3	5179	1899	None
4237	2	4348	2001	2002
484	0	485	1861_07_26	1861_07_26
1282	0	139	1906_02_19	1906_02_19
7738	8	7653	2004	2012
4622	2	4769	2006	None
393	4	2898	2014	None
2321	2	4639	2005	2007
1990	0	1934	1975_11_14	1975_11_14
2333	0	265	1955_10_04	1955_10_04
5795	3	5673	1992	None
6240	4	2529	1980	1987
5023	2	4876	2006	None
2109	7	79	2016_11_28	2016_11_28
4752	2	4291	2006	2007
8357	9	8358	1872	None
1018	7	667	1991_04_10	1991_04_10
3628	4	719	1986	1992
1742	4	3583	2017	None
2863	4	2974	1905	1928
7627	9	8788	1968	1973
2431	2	5027	2007	None
4750	2	4368	2011	2014
6198	4	1756	1969	None
2419	2	4661	2005	2006
1735	2	4598	2006	2007
5990	7	1945	2003_07_12	2003_07_12
1443	0	63	1938_03_16	1938_03_16
516	7	79	2015_10_07	2015_10_07
3803	0	1450	1950_02_08	1950_02_08
5834	3	5339	2003	None
1784	8	7749	1985	2005
3224	2	4240	1994	2002
2894	8	7783	1824	None
2511	0	1413	1969_01_22	1969_01_22
7528	8	7653	1942	1970
844	2	4487	2000	None
7801	8	7677	1917	None
3384	2	4565	2010	2011
5041	2	5141	2004	2006
2348	2	4465	2012	None
4783	2	5085	2014	None
1976	3	5247	1989	1992
890	3	5198	1904	None
2062	3	5198	2001	None
4546	2	4370	2006	2007
1959	0	424	1918_01_15	1918_01_15
2357	9	10366	1998	None
4704	2	4717	2008	2009
4711	2	4819	2010	2011
1881	4	2356	2008	None
2286	0	101	1916_05_20	1916_05_20
4359	2	4680	2007	2008
4421	2	4893	2003	2004
347	0	348	1983_03_22	1983_03_22
3620	2	4922	1999	2005
5110	2	4779	2009	None
447	2	4250	1996	None
1191	4	3054	2007	None
5304	3	5235	1999	None
842	8	7659	2015	None
1858	3	5527	2001	None
4280	2	4238	1993	1995
474	0	139	1897_04_26	1897_04_26
6359	5	6360	2001	2013
830	3	5800	2004	None
3721	4	114	1970	1979
1553	4	1818	2008_04_25	None
8713	9	10341	2013_10	None
711	0	55	1932_11_29	1932_11_29
4527	2	5132	2011	None
9278	9	10258	1964	None
788	2	4734	2002	2009
1611	9	10025	1815	None
5556	3	5261	1940	None
2217	2	4603	2012	None
630	2	4577	1989	1994
5553	9	10299	1979	None
4861	2	4648	2010	2011
2824	9	9363	1973	None
5333	3	5268	1978	None
1168	7	770	1914_04_09	1914_04_09
2342	0	384	1978_05_22	1978_05_22
3900	3	5248	1970	None
1592	6	3813	1972	None
2338	2	4370	2001	2003
6546	5	6659	1948	1966
5804	3	5775	1945	None
5940	7	2216	1928_02_04	1928_02_04
7617	8	7853	2002	None
1410	0	901	1864_11_07	1864_11_07
8757	9	9763	1999	None
817	2	4757	1989	1992
4948	2	5144	2010	None
3371	3	5370	1988	None
3626	2	4973	1998	2005
444	0	89	1966_04_06	1966_04_06
5715	3	5737	1992	None
3207	4	5980	1943	1959
1249	4	6111	1920	None
6983	5	6744	2015	None
2819	0	139	1924_08_01	1924_08_01
6121	4	2816	1908	1937
1937	6	7445	1986	None
518	7	1636	1983_12_08	1983_12_08
5164	3	5224	1876	None
1650	2	4253	2001	2002
8429	9	8430	360	None
5895	9	9799	1938	None
4241	2	5128	2011	2012
9159	9	9160	1947	None
9852	9	9853	1981	1984
1797	0	1198	1961_02_11	1961_02_11
1496	6	7436	1955	None
2061	3	5228	1977	None
2016	4	6083	1964	1985
10152	9	8135	2005	None
5419	3	5271	1996	2009
2062	3	5256	1984	None
9958	9	8164	2006	None
9692	9	10552	2010	None
8447	9	8448	220	1925
2423	0	83	1938_03_05	1938_03_05
2611	0	681	1950_10_04	1950_10_04
3783	0	901	1891_10_31	1891_10_31
627	7	149	1875_07_08	1875_07_08
9353	9	9602	1979	None
2236	3	5676	2000	None
9177	9	9178	1974	None
805	2	4610	2007	2009
3130	0	30	1970_06_27	1970_06_27
2673	2	4313	2006	None
2061	3	5188	1964	None
4531	2	4532	2002	None
2105	0	234	1838_01_29	1838_01_29
2839	0	610	1866_11_29	1866_11_29
2335	1	3858	1960	None
3610	7	658	1980_02_25	1980_02_25
2462	2	4888	2013	2014
2144	4	2650	2013	None
966	2	4259	2007	2009
4790	2	4778	2000	2001
7936	9	9211	2001	None
5698	3	5215	1990	None
5456	3	5457	2008	None
4866	2	4690	1983	1988
4490	2	5038	2007	2008
822	8	7672	1947	None
156	2	4936	2005	2006
3468	3	5467	1900	None
1391	3	5220	1975	None
1891	3	5188	1975	None
68	0	69	1905_07_24	1905_07_24
2300	0	1753	1981_12_20	1981_12_20
2181	3	5543	1993	None
4694	2	4609	2004	2007
5778	7	599	1997_10_16	1997_10_16
1643	0	173	1949_06_23	1949_06_23
3926	6	3872	1973	1977
3177	0	359	1937_08_03	1937_08_03
1503	9	7953	1976	None
3527	0	323	1976_05_15	1976_05_15
1106	0	101	1972_09_14	1972_09_14
4844	2	4637	1995	1997
8473	9	9303	1872	None
1774	4	6041	1958	2000
4652	5	6466	1959	1984
2297	0	139	1926_05_13	1926_05_13
7472	6	7463	1944	None
3047	7	1042	2004_11_26	2004_11_26
3373	0	370	1983_10_21	1983_10_21
2442	6	3937	1989	None
5678	9	8401	2000	None
6418	5	7011	1996	None
2148	6	3987	1986	None
1090	4	197	1995	None
1562	0	103	1928_08_15	1928_08_15
2585	0	13	1971_08_27	1971_08_27
5592	4	2120	1973	2000
5230	3	5682	2003	None
3518	3	5377	1986	None
991	9	8784	2006	None
4949	2	4526	2013	2014
5393	3	5198	1948	None
2128	6	4057	1969	None
739	8	7659	1866	1869
7844	8	7681	1904	None
2493	2	4347	2008	2010
6161	4	3241	1923	1925
616	3	5474	1953	None
2393	0	210	1968_05_01	1968_05_01
1751	7	7493	2002_02_26	2002_02_26
6799	5	6691	1967	1988
3176	2	4700	2004	2006
3379	4	3187	1949	1953
3487	7	147	1971_10_01	1971_10_01
4975	2	4787	2012	2013
5049	2	4236	2002	None
2138	2	4698	2007	2012
3502	7	101	2008_08_26	2008_08_26
4176	1	4177	2007	None
2168	0	283	1974_04_25	1974_04_25
2822	6	3836	1984	None
3541	3	5228	1988	None
1246	0	41	1943_06_06	1943_06_06
5799	3	5602	1975	None
3107	9	1290	2009	None
3383	6	3937	1978	None
7516	8	7781	1917	1919
274	2	5112	2015	2016
5282	3	5803	1983	None
4678	2	4983	2013	2016
97	0	67	1864_12_09	1864_12_09
3076	3	5670	1958	None
6435	5	6436	2008	2010
2318	0	348	1983_05_23	1983_05_23
3536	0	67	1900_07_18	1900_07_18
3736	4	6146	1949	1955
2094	3	5179	1978	None
6270	7	79	2013_08_08	2013_08_08
2304	4	6084	1956	1964
2192	3	5825	1993	None
1781	0	283	1924_05_28	1924_05_28
4791	2	4281	2005	2006
7574	7	199	1917_05_23	1917_05_23
3239	8	7799	1991	2005
2820	8	7659	2016	None
4442	2	4358	2009	None
2631	2	5133	2016	2017
219	2	4591	2004	2005
7797	8	7659	1854	1903
2831	2	4573	2011	2013
9252	9	9253	2015	None
1961	3	5315	2007	None
4750	2	4751	2003	2005
8794	9	8795	1917	None
3916	1	4034	2010	None
2040	9	8627	2009	None
6928	5	7377	142	None
891	2	4853	2000	2001
2360	7	71	1968_07_23	1968_07_23
10495	9	10496	1969	None
7596	8	7833	2004	2007
2401	4	3645	1983	None
3158	4	355	1968	1980
1864	0	163	1866_10_02	1866_10_02
5900	3	5243	2001	None
2773	4	1520	1979	None
1396	0	810	1900_02_15	1900_02_15
1769	3	5365	2017	None
10113	9	10114	2009	None
5514	9	9324	1999	None
254	0	139	1928_04_07	1928_04_07
3557	2	4769	2004	None
7650	7	917	1972_05_04	1972_05_04
1758	2	4504	2012	None
4866	2	4853	1986	1987
1397	2	4515	1998	1999
2765	3	5173	1964	None
6123	7	7519	2007_11_23	2007_11_23
5192	3	5193	1992	None
5299	3	5177	2015	None
130	2	4956	2007	2009
5376	3	5198	1902	None
1415	0	67	1947_04_11	1947_04_11
2171	0	240	1890_02_18	1890_02_18
33	3	5387	1960	None
584	4	3523	2011	None
1693	0	1454	1958	1958
5002	2	4418	2012	2013
2868	0	1292	1927_01_01	1927_01_01
4276	2	4479	2013	2014
5773	3	5842	1960	None
3612	2	4376	2010	2011
2515	0	323	1948_01_23	1948_01_23
4292	2	4818	2004	2005
1124	7	111	1947_10_29	1947_10_29
846	2	4968	2006	2009
448	0	449	1987_06_22	1987_06_22
6240	7	17	1987_12_19	1987_12_19
4677	2	4777	2012	2014
7810	8	7841	1973	1980
5401	3	5179	1968	None
201	8	7683	2007	None
1409	2	4378	1989	1991
7583	8	7719	1825	1833
2645	0	424	1992_06_07	1992_06_07
1099	4	3801	1972	2012
115	0	67	1937_04_22	1937_04_22
2788	4	1088	2002	None
2293	6	7456	1971	None
6770	5	6324	1982	1987
4804	2	4236	1997	None
8440	9	8441	1895	1905
4927	2	4837	2009	None
6395	5	6675	1999	None
2823	7	79	1996_04_25	1996_04_25
7804	8	7747	1999	2003
2256	3	5228	2008	None
1818	4	1553	2008_04_25	2012_02_15
6625	5	6626	1939	1941
10395	9	10396	1852	1924
5844	3	5538	2014	None
2812	8	7659	1989	None
8538	9	8539	1894	1914
5631	3	5184	1963	None
1984	0	79	1964_06_29	1964_06_29
1430	9	10553	1897	None
3591	7	65	2000_05_18	2000_05_18
2925	4	2245	2006	2009
4595	2	4492	1988	1992
4245	2	4422	2005	2010
2937	0	83	1920_10_20	1920_10_20
982	4	2667	1985	None
565	4	3293	1952	1999
182	3	5227	1985	None
1138	6	7456	1927	1929
1621	6	3870	1825	None
4619	2	4469	2007	2008
6040	4	472	1968	1978
1712	3	5307	1963	None
743	7	330	2014_01_17	2014_01_17
693	0	694	1987_09_06	1987_09_06
5500	3	5351	1987	None
5598	3	5248	1954	None
448	2	4294	2007	None
3411	4	1418	2003	None
3619	0	161	1904_01_10	1904_01_10
4804	2	4541	2009	None
1903	0	1	1980_09_11	1980_09_11
6234	4	6131	1947	1953
1793	3	5523	1960	None
788	2	4698	2006	None
1634	3	5237	1978	None
7565	8	7823	1910	None
2200	4	3536	1932	1985
1901	0	1902	1877_02_28	1877_02_28
6053	9	9262	1985	None
2940	4	6153	1937	None
411	0	103	1939_06_17	1939_06_17
6669	5	6670	1986	1996
4404	2	4405	2007	None
3934	1	3935	2001	None
4790	2	4663	2004	2008
6673	5	7028	1998	2014
6468	5	6469	100	None
5777	3	5868	1978	None
4474	2	4634	1999	2000
4551	2	4445	2005	2006
178	0	28	1960_03_12	1960_03_12
5895	9	8678	1957	None
257	2	4984	2011	2012
1842	0	228	1900_12_22	1900_12_22
5836	3	5296	2011	None
1730	0	985	1878	1878
5180	3	5389	1967	None
5524	3	5177	1928	None
1824	9	9786	2016	None
6198	4	1010	1959	None
3724	7	2688	2016	2016
3466	2	4541	2014	2015
2628	4	2674	1983	1990
3463	4	325	1949	1954
4383	2	4776	1991	1992
5785	7	7542	2012_01_06	2012_01_06
4867	2	4615	2008	2009
5080	2	4492	2005	2011
287	4	1779	1987	None
